,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
0,adidas Yeezy Foam RNR Onyx,Adidas,80,2022-06-08,159,3560,2615,226,1193,833,138,0.092028,8904,188,184,0.051429
1,Jordan 1 Retro High OG Visionaire,Nike,170,2022-06-11,186,1149,478,220,567,343,137,0.054394,1146,209,190,-0.02405
2,Jordan 4 Retro Infrared,Nike,200,2022-06-15,255,1284,345,300,547,2043,216,0.032678,938,333,260,-0.018868
3,NikeCraft General Purpose Shoe Tom Sachs,Nike,110,2022-06-10,310,530,176,725,1141,2199,100,0.406753,827,566,320,-0.38928
4,adidas Yeezy Boost 700 Hi-Res Red,Adidas,300,2022-06-17,340,312,111,341,155,449,295,0.0242,112,354,350,0.008646
5,adidas Yeezy Boost 700 MNVN Laceless Phosphor,Adidas,220,2022-06-13,162,380,88,250,109,400,135,0.183659,88,217,240,-0.020408
6,Nike Dunk Low Retro White Black Panda (2021),Nike,110,2021-03-10,177,3867,1845,227,1241,1022,0,0.095246,135108,261,195,-0.01904
7,adidas Yeezy Slide Pure (Restock Pair),Adidas,60,2021-12-13,120,3269,1632,232,1661,349,36,0.105371,60925,162,162,0
8,adidas Yeezy Slide Onyx,Adidas,60,2022-03-07,99,3244,1538,241,1744,575,89,0.336037,36623,176,140,-0.007092
9,Nike Air Force 1 Low '07 White,Nike,90,2007-11-24,96,2879,1293,135,1006,247,25,0.122526,160119,115,92,-0.070707
10,Jordan 4 Retro Military Black,Nike,210,2022-05-21,299,2447,736,310,2593,695,224,0.080825,15636,336,312,-0.025
11,adidas Yeezy Foam RNR Desert Sand,Adidas,80,2022-06-11,146,725,713,202,257,294,135,0.082573,1053,180,145,-0.033333
12,adidas Yeezy Slide Glow Green (2022) (Restock),Adidas,60,2022-05-31,81,3718,692,180,897,210,70,0.10647,11120,104,90,-0.090909
13,Nike Dunk Low Retro White Black (GS),Nike,85,2021-03-10,150,1840,624,169,544,300,112,0.0538,56024,210,162,-0.067355
14,Nike Dunk Low Coconut Milk,Nike,100,2022-03-01,143,1519,538,290,687,439,110,0.120545,9863,166,150,-0.117647
15,Jordan 1 Retro High OG Stage Haze,Nike,170,,204,1392,463,250,1473,715,170,0.061437,6261,226,217,-0.086462
16,Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown,Nike,150,2022-05-27,322,2035,440,431,2032,4901,248,0.08943,4500,555,403,-0.182556
17,Nike Dunk Low Two-Toned Grey (GS),Nike,85,2022-03-01,108,1230,410,113,273,208,97,0.04397,8821,140,115,0.045455
18,Nike Dunk Low Next Nature White Black (W),Nike,100,2021-11-03,171,730,376,186,434,353,140,0.046803,14044,202,189,0.098837
19,adidas Yeezy Foam RNNR Sulfur,Adidas,90,2022-04-16,138,1765,376,188,394,323,120,0.07422,8243,180,186,0.265306
20,adidas Yeezy Boost 350 V2 Zebra,Adidas,220,2017-02-25,257,3553,375,300,941,1154,223,0.04188,28257,334,274,-0.119298
21,adidas Yeezy Boost 350 V2 Bone,Adidas,230,2022-03-21,231,3478,375,263,626,771,200,0.080212,20024,281,312,0.248168
22,New Balance 550 White Grey,New Balance,100,2022-01-14,125,1426,366,190,457,448,101,0.067512,21809,171,152,-0.084337
